,Growth,Type (English),Type (Chinese),Vendor (English),Vendor (Chinese),Wine (English),Wine (Chinese),Region (English),Region (Chinese),Country (English),Country (Chinese),Vintage,Ratings
115,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Beychevelle,,Les Brulieres de Beychevelle,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
116,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Prieure-Lichine,,Chateau Prieure-Lichine,,"Margaux, Bordeaux",波爾多,France,法國,,
117,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Prieure-Lichine,,Confidences de Prieure Lichine,,"Margaux, Bordeaux",波爾多,France,法國,,
118,Bordeaux Grand Cru Classe 4th Growths,White,白酒,Chateau Prieure-Lichine,,Le Blanc de Prieure Lichine,,Bordeaux,波爾多,France,法國,,
119,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Prieure-Lichine,,Le Clocher du Prieure,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
120,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Marquis de Terme,,Chateau Marquis de Terme,,"Margaux, Bordeaux",波爾多,France,法國,,
121,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Marquis de Terme,,La Couronne de Marquis de Terme,,"Margaux, Bordeaux",波爾多,France,法國,,
122,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Marquis de Terme,,9 de Marquis de Terme,,"Margaux, Bordeaux",波爾多,France,法國,,
123,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Marquis de Terme,,Fleur de Marquis de Terme,,"Margaux, Bordeaux",波爾多,France,法國,,
124,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Marquis de Terme,,M de Marquis de Terme,,"Margaux, Bordeaux",波爾多,France,法國,,
125,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Pontet Canet,,Chateau Pontet Canet,,"Pauillac, Bordeaux",波爾多,France,法國,,
126,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Pontet Canet,,Hauts de Pontet Canet,,"Pauillac, Bordeaux",波爾多,France,法國,,
