,Wine,Vintage,Format,Region,Cost,Qty,Negoce
109,PAVILLON ROUGE CHATEAU MARGAUX,2009,75cl,Bordeaux,125.0,0,Joanne
110,PAVILLON ROUGE CHATEAU MARGAUX,2008,75cl,Bordeaux,125.0,0,Joanne
111,PAVILLON ROUGE CHATEAU MARGAUX,2007,75cl,Bordeaux,125.0,0,Joanne
112,PAVILLON ROUGE CHATEAU MARGAUX,2006,75cl,Bordeaux,125.0,0,Joanne
113,PAVILLON ROUGE CHATEAU MARGAUX,2004,75cl,Bordeaux,125.0,0,Joanne
114,PAVILLON ROUGE CHATEAU MARGAUX,2003,75cl,Bordeaux,135.0,0,Joanne
115,PAVILLON ROUGE CHATEAU MARGAUX,2002,75cl,Bordeaux,125.0,0,Joanne
116,CHATEAU POTENSAC,2012,75cl,Bordeaux,13.8,0,Joanne
117,LE PETIT DE LA TOUR CARNET,2010,75cl,Bordeaux,10.8,0,Joanne
118,LE PETIT DE LA TOUR CARNET,2009,75cl,Bordeaux,10.5,0,Joanne
119,CHATEAU CHASSE SPLEEN RGE,2013,75cl,Bordeaux,16.2,0,Joanne
120,CHATEAU CHASSE SPLEEN RGE,2011,75cl,Bordeaux,20.0,0,Joanne
121,CHATEAU CHASSE SPLEEN RGE,2001,75cl,Bordeaux,35.0,0,Joanne
122,CHATEAU MAUCAILLOU,2013,75cl,Bordeaux,11.8,0,Joanne
123,CHATEAU POUJEAUX,2013,75cl,Bordeaux,15.6,0,Joanne
124,CHATEAU POUJEAUX,2012,75cl,Bordeaux,17.5,0,Joanne
125,CHATEAU POUJEAUX,2011,75cl,Bordeaux,18.0,0,Joanne
126,CHATEAU POUJEAUX,2010,75cl,Bordeaux,25.0,0,Joanne
127,CARRUADES DE LAFITE,2013,75cl,Bordeaux,165.0,0,Joanne
128,CARRUADES DE LAFITE,2011,75cl,Bordeaux,170.0,0,Joanne
129,CARRUADES DE LAFITE,2010,75cl,Bordeaux,180.0,0,Joanne
130,CARRUADES DE LAFITE,2009,75cl,Bordeaux,180.0,0,Joanne
131,CHATEAU BATAILLEY,2008,75cl,Bordeaux,30.0,0,Joanne
132,CHATEAU BATAILLEY,2007,75cl,Bordeaux,28.0,0,Joanne
133,CHATEAU CLERC MILON,2012,75cl,Bordeaux,52.0,0,Joanne
134,CHATEAU CLERC MILON,2011,75cl,Bordeaux,50.0,0,Joanne
135,CHATEAU CLERC MILON,2010,75cl,Bordeaux,62.0,0,Joanne
136,CHATEAU CROIZET BAGES,2013,75cl,Bordeaux,20.5,0,Joanne
137,CHATEAU CROIZET BAGES,2012,75cl,Bordeaux,21.0,0,Joanne
138,CHATEAU CROIZET BAGES,2008,75cl,Bordeaux,25.0,0,Joanne
139,CHATEAU CROIZET BAGES,2004,75cl,Bordeaux,24.5,0,Joanne
140,CHATEAU D'ARMAILHAC,2013,75cl,Bordeaux,26.0,0,Joanne
141,CHATEAU D'ARMAILHAC,2011,75cl,Bordeaux,31.0,0,Joanne
142,CHATEAU D'ARMAILHAC,2010,75cl,Bordeaux,41.0,0,Joanne
143,CHATEAU D'ARMAILHAC,2009,75cl,Bordeaux,38.0,0,Joanne
144,CHATEAU D'ARMAILHAC,2008,75cl,Bordeaux,40.0,0,Joanne
145,CHATEAU D'ARMAILHAC,2006,75cl,Bordeaux,42.0,0,Joanne
146,CHATEAU D'ARMAILHAC,2005,75cl,Bordeaux,51.0,0,Joanne
147,CHATEAU D'ARMAILHAC,2004,75cl,Bordeaux,43.0,0,Joanne
148,CHATEAU DUHART MILON,2011,75cl,Bordeaux,52.0,0,Joanne
149,CHATEAU DUHART MILON,2010,75cl,Bordeaux,68.0,0,Joanne
150,CHATEAU DUHART MILON,2009,75cl,Bordeaux,75.0,0,Joanne
151,CHATEAU DUHART MILON,2008,75cl,Bordeaux,64.0,0,Joanne
152,CHATEAU DUHART MILON,2007,75cl,Bordeaux,60.0,0,Joanne
153,CHATEAU DUHART MILON,2006,75cl,Bordeaux,90.0,0,Joanne
154,CHATEAU DUHART MILON,2005,75cl,Bordeaux,95.0,0,Joanne
155,CHATEAU DUHART MILON,2003,75cl,Bordeaux,95.0,0,Joanne
156,CHATEAU GD PUY DUCASSE,2011,75cl,Bordeaux,26.4,0,Joanne
157,CHATEAU GRAND PUY LACOSTE,2013,75cl,Bordeaux,31.2,0,Joanne
