,Wine,Vintage,Format,Region,Cost,Qty,Negoce
118,CH. SIRAN,2013,37.5cl,Bordeaux,7.95,0,Dubos
119,LES ALLEES DE CANTEMERLE,2013,37.5cl,Bordeaux,5.6,0,Dubos
120,L'HERITAGE DE CHASSE SPLEEN,2013,37.5cl,Bordeaux,4.95,0,Dubos
121,CH. LANESSAN,2013,37.5cl,Bordeaux,5.3,0,Dubos
122,CH. LARRIVAUX,2013,37.5cl,Bordeaux,3.95,0,Dubos
123,CH. FOURCAS DUPRE,2013,37.5cl,Bordeaux,4.7,0,Dubos
124,CH. CHASSE SPLEEN,2013,37.5cl,Bordeaux,9.5,0,Dubos
125,CH. MAUCAILLOU,2013,37.5cl,Bordeaux,6.95,0,Dubos
126,CH. POUJEAUX,2013,37.5cl,Bordeaux,8.95,0,Dubos
127,CHAPELLE DE POTENSAC,2013,37.5cl,Bordeaux,3.6,0,Dubos
128,CH. POTENSAC,2013,37.5cl,Bordeaux,7.25,0,Dubos
129,CH. CANON,2013,37.5cl,Bordeaux,19.5,0,Dubos
130,CH. FIGEAC,2013,37.5cl,Bordeaux,30.0,0,Dubos
131,CH. DE FONBEL,2013,37.5cl,Bordeaux,5.5,0,Dubos
132,CH. TAILLEFER,2013,37.5cl,Bordeaux,7.4,0,Dubos
133,CARMES DE RIEUSSEC,2013,37.5cl,Bordeaux,7.5,0,Dubos
134,CH. GUIRAUD,2013,37.5cl,Bordeaux,15.25,0,Dubos
135,CH. D'YQUEM,2013,37.5cl,Bordeaux,125.0,0,Dubos
136,BORDEAUX DE MAUCAILLOU,2013,37.5cl,Bordeaux,2.1,0,Dubos
137,CH. PEDESCLAUX,2014,37.5cl,Bordeaux,13.0,0,Dubos
138,RESERVE DE LA COMTESSE,2014,37.5cl,Bordeaux,12.0,0,Dubos
139,LES FIEFS DE LAGRANGE,2014,37.5cl,Bordeaux,8.4,0,Dubos
140,BLASON D'ISSAN,2014,37.5cl,Bordeaux,8.25,0,Dubos
141,CH. D'ISSAN,2014,37.5cl,Bordeaux,16.5,0,Dubos
142,CH. POTENSAC,2014,37.5cl,Bordeaux,7.98,0,Dubos
143,CH. TAILLEFER,2014,37.5cl,Bordeaux,7.75,0,Dubos
144,CH. FERRAN,2014,37.5cl,Bordeaux,4.6,0,Dubos
145,CH. MOUTON ROTHSCHILD,1999,600cl,Bordeaux,4100.0,0,Dubos
146,CH. PALMER,2004,600cl,Bordeaux,1889.0,0,Dubos
