,Wine,Vintage,Format,Cost,Qty,Negoce
377,AUSONE,2014,750ml,569.0,60,RCA
378,AUSONE,2012,750ml,445.0,66,RCA
379,AUSONE,2011,750ml,450.0,12,RCA
380,AUSONE,2010,750ml,1250.0,23,RCA
381,AUSONE,2009,750ml,1100.0,30,RCA
382,AUSONE,2008,750ml,570.0,6,RCA
383,AUSONE,2006,750ml,800.0,24,RCA
384,AUSONE,2005,750ml,1365.0,12,RCA
385,AUSONE,1999,750ml,513.0,6,RCA
386,AUSONE,1990,750ml,457.0,6,RCA
387,AUSONE,1988,750ml,313.0,1,RCA
388,AUSONE / CHAPELLE D'AUSONE,2015,750ml,132.0,24,RCA
389,AUSONE / CHAPELLE D'AUSONE,2014,750ml,107.0,42,RCA
390,AUSONE / CHAPELLE D'AUSONE,2013,750ml,125.0,60,RCA
391,AUSONE / CHAPELLE D'AUSONE,2012,750ml,130.0,180,RCA
392,AUSONE / CHAPELLE D'AUSONE,2011,750ml,130.0,180,RCA
393,AUSONE / CHAPELLE D'AUSONE,2010,750ml,228.0,120,RCA
394,AUSONE / CHAPELLE D'AUSONE,2009,750ml,216.0,120,RCA
395,AUSONE / CHAPELLE D'AUSONE,2008,750ml,160.0,60,RCA
396,AUSONE / CHAPELLE D'AUSONE,2005,750ml,285.0,60,RCA
397,AUSONE / FONBEL,2015,750ml,12.0,600,RCA
398,AUSONE / FONBEL,2014,750ml,10.0,300,RCA
399,AUSONE / FONBEL,2013,750ml,9.9,240,RCA
400,AUSONE / FONBEL,2012,750ml,13.0,60,RCA
401,AUSONE / FONBEL,2011,750ml,12.5,60,RCA
402,AUSONE / FONBEL,2010,750ml,17.1,60,RCA
403,AUSONE / FONBEL,2009,750ml,19.0,60,RCA
404,AUSONE / FONBEL,2008,750ml,14.5,6000,RCA
405,AUSONE / FONBEL,2005,750ml,22.5,240,RCA
406,AUSONE / MOULIN ST GEORGES,2014,750ml,20.0,60,RCA
407,AUSONE / MOULIN ST GEORGES,2013,750ml,20.5,60,RCA
408,AUSONE / MOULIN ST GEORGES,2012,750ml,25.0,60,RCA
409,AUSONE / SIMARD,2013,750ml,11.3,6000,RCA
410,AUSONE / SIMARD,2012,750ml,11.5,6000,RCA
411,AUSONE / SIMARD,2011,750ml,11.5,6000,RCA
412,AUSONE / SIMARD,2010,750ml,13.5,6000,RCA
413,AUSONE / SIMARD,2009,750ml,11.5,6000,RCA
