,Wine,Price,Date,Year,Region,Format,Markup Price,Markup %,WS Merchant,WS Price,Negoce,Recommended Selling Price,Sell,Margin,Quantity,Type,Vendor
19,BRAINAIRE DUCRU,495,2017-01-22 08:00,1998,Bordeaux,75cl,631.12,27.50%,Y18 Elegant Spirits Ltd.,550,Cuvees,630,No,135,0,Red,BRAINAIRE DUCRU
20,SMITH HAUT LAFITTE ROUGE,430,2017-01-22 08:00,1997,Bordeaux,75cl,548.25,27.50%,Grand Cru Cellar Intl Ltd Wholesale,620,Cuvees,608,Yes,178,0,Red,SMITH HAUT LAFITTE
21,GRILLET,1830,2017-01-22 08:00,2012,Bordeaux,75cl,2155.74,17.80%,Y18 Elegant Spirits Ltd.,1690,Cuvees,2155,No,325,0,White,GRILLET
22,BEYCHEVELLE,990,2017-01-22 08:00,1995,Bordeaux,75cl,1193.94,20.60%,Chateau Bordeaux,848,Cuvees,1190,No,200,0,Red,BEYCHEVELLE
23,Chateau Lafite Rothschild,13571.61,2017-01-22 08:00,2009,Bordeaux,75cl,15675.21,15.50%,"Sotheby's Wine Hong Kong, Auction",4583.33,Dynamic,15675,No,2103,0,Red,Chateau Lafite Rothschild
24,BATAILLEY,330,2017-01-22 08:00,2007,Bordeaux,75cl,434.61,31.70%,Grand Cru Cellar Intl Ltd Wholesale,300,Cuvees,435,No,105,0,Red,BATAILLEY
25,DOMAINE DE LA POUSSE D'OR CLOS DE LA BOUSSE,510,2017-01-22 08:00,2009,Burgundy,75cl,637.50,25.00%,The Fine Wine Experience,720,Cuvees,705,Yes,195,0,Red,DOMAINE DE LA POUSSE
26,Chateau Lafite Rothschild,8000,2017-01-22 08:00,2001,Bordeaux,75cl,9248.00,15.60%,"Sotheby's Wine Hong Kong, Auction",3143,Dynamic,9248,No,1248,0,Red,Chateau Lafite Rothschild
27,Chateau Lafite Rothschild,8330.35,2017-01-22 08:00,2006,Bordeaux,75cl,9629.88,15.60%,Grand Cru Cellar Intl Ltd Wholesale,4880,Dynamic,9630,No,1300,0,Red,Chateau Lafite Rothschild
28,Chateau Cheval Blanc,17932.44,2017-01-22 08:00,2009,Bordeaux,150cl,20711.97,15.50%,Millesima - Hong Kong,23028.67,Dynamic,22568,Yes,4636,0,Red,Chateau Cheval Blanc
29,POMMERY CUVEE LOUISE,597,2017-01-22 08:00,1999,Champagne,75cl,746.25,25.00%,iDealwine Hong Kong,537.93,Cuvees,745,No,148,0,Champagne,POMMERY
30,RAUZAN SEGLA,436,2017-01-22 08:00,2007,Bordeaux,75cl,555.90,27.50%,Superb Wine Company,450,Cuvees,555,No,119,0,Red,RAUZAN SEGLA
