,Item Code,Item Name,Stock ,Unit,Trade,Format,RATING,SCORES
536,RF1LAT0111961-A-CC,Latour - Pauillac 1961 (US Label) (Cut Capsule),1,BOTTLE,"$38,000 ",750ML,WA,100
537,RF1LAT0111982-A,Latour - Pauillac 1982 (US Label),13,BOTTLE,"$15,900 ",750ML,WA,100
538,RF1LAT0111982-EX07,Latour - Pauillac 1982 (ex-chateau 2007),2,BOTTLE,"$18,500 ",750ML,WA,100
539,RF1LAT0111985-OWC12,Latour - Pauillac 1985 (owc12),12,BOTTLE,"$4,200 ",750ML,WS,93
540,RF1LAT0111996-EX14-OWC6,Latour - Pauillac 1996 (ex-Chateau 2014) (owc6),6,BOTTLE,"$6,900 ",750ML,WA,100
541,RF1LAT0112000-EX16,Latour - Pauillac 2000 (Ex-Chateau 2016),100+,BOTTLE,"$7,900 ",750ML,WA,98
542,RF1LAT0112003-EX15,Latour - Pauillac 2003 (Ex-Chateau 2015),4,BOTTLE,"$6,980 ",750ML,WA,100
543,RF1LAT0112003-EX15-OWC6,"Latour - Pauillac 2003 (Ex-Chateau 2015, owc6)",100+,BOTTLE,"$6,980 ",750ML,WA,100
544,RF1LAT0112009,Latour - Pauillac 2009,1,BOTTLE,"$9,900 ",750ML,WA,100
545,RF1LAT0112009-OWC12,Latour - Pauillac 2009 (owc12),72,BOTTLE,"$9,900 ",750ML,WA,100
546,RF1LAT0112009-OWC6,Latour - Pauillac 2009 (owc6),12,BOTTLE,"$9,900 ",750ML,WA,100
547,RF1LAT0112011-OWC12,Latour - Pauillac 2011 (owc12),12,BOTTLE,"$3,950 ",750ML,WA,93-95
548,RF1LAT0121878-S,Latour - Pauillac 1878 (Whitwham's label),1,BOTTLE,"$198,000 ",1.5L,,
549,RF1LAT0121898,Latour - Pauillac 1898,1,BOTTLE,"$129,000 ",1.5L,,
550,RF1LAT0121926,Latour - Pauillac 1926,1,BOTTLE,"$42,000 ",1.5L,WA,93
551,RF1LAT0121945-LD,Latour - Pauillac 1945 (Label Damage),1,BOTTLE,"$99,000 ",1.5L,WS,100
552,RF1LAT0121950,Latour - Pauillac 1950 ,1,BOTTLE,"$19,800 ",1.5L,WS,79
553,RF1LAT0121950-EX,Latour - Pauillac 1950 (ex-Chateau 2003),1,BOTTLE,"$33,800 ",1.5L,WS,79
554,RF1LAT0121964,Latour - Pauillac 1964,1,BOTTLE,"$13,900 ",1.5L,WA,91
555,RF1LAT0121988-OWC6,Latour - Pauillac 1988 (owc6),6,BOTTLE,"$7,900 ",1.5L,WS,96
556,RF1LAT0121995,Latour - Pauillac 1995,3,BOTTLE,"$8,500 ",1.5L,WA,96
557,RF1LAT0122010-OWC6,Latour - Pauillac 2010 (owc6),6,BOTTLE,"$18,000 ",1.5L,WA,100
558,RF1LAT0132010,Latour - Pauillac 2010,12,BOTTLE,"$5,500 ",375ML,WA,100
559,RF1LAT0161976-EX03-OWC1,Latour - Pauillac 1976 (ex-chateau 2003) (owc1),1,BOTTLE,"$38,000 ",6L,WS,87
560,RF1LAT0162009-OWC1,Latour - Pauillac 2009 (owc1),1,BOTTLE,"$118,000 ",6L,WA,100
561,RF1LAT0162011-OWC1,Latour - Pauillac 2011 (owc1),1,BOTTLE,"$55,000 ",6L,WA,93-95
562,RF1LAT0411947,Latour a Pomerol - Pomerol 1947,1,BOTTLE,"$129,000 ",750ML,WA,100
563,RF1LAT0411961-CC,Latour a Pomerol - Pomerol 1961 (Cut Capsule),3,BOTTLE,"$98,000 ",750ML,WA,100
564,RF1LAT0411961-LD,Latour a Pomerol - Pomerol 1961 (Label Damaged),2,BOTTLE,"$98,000 ",750ML,WA,100
565,RF1LAV0112012,La Violette - Pomerol 2012,23,BOTTLE,"$1,980 ",750ML,WA,97
566,RF1LAV0142006-OWC1,La Violette - Pomerol 2006 (owc1),5,BOTTLE,"$8,500 ",3L,,
567,RF1LAV0142008-OWC1,La Violette - Pomerol 2008 (owc1),1,BOTTLE,"$9,900 ",3L,,
568,RF1LAV0162007-OWC1,La Violette - Pomerol 2007 (owc1),3,BOTTLE,"$15,900 ",6L,,
569,RF1LEO0111982-LD,Leoville Las Cases - St. Julien 1982 (Label Damage),2,BOTTLE,"$3,550 ",750ML,WA,95+
570,RF1LEO0111985,Leoville Las Cases - St. Julien 1985,8,BOTTLE,"$1,950 ",750ML,WS,98
571,RF1LEO0111995,Leoville Las Cases - St. Julien 1995,12,BOTTLE,"$1,690 ",750ML,WA,95
572,RF1LEO0111995-OWC12,Leoville Las Cases - St. Julien 1995 (owc12),12,BOTTLE,"$1,690 ",750ML,WA,95
573,RF1LEO0111998,Leoville Las Cases - St. Julien 1998,2,BOTTLE,"$1,290 ",750ML,WA,93
574,RF1LEO0111998-OWC12,Leoville Las Cases - St. Julien 1998 (owc12),12,BOTTLE,"$1,290 ",750ML,WA,93
575,RF1LEO0112001,Leoville Las Cases - St. Julien 2001,12,BOTTLE,"$1,290 ",750ML,WS,94
576,RF1LEO0112001-OWC12,Leoville Las Cases - St. Julien 2001 (owc12),12,BOTTLE,"$1,290 ",750ML,WS,94
577,RF1LEO0112004,Leoville Las Cases - St. Julien 2004,5,BOTTLE,"$1,190 ",750ML,WS,95
578,RF1LEO0112006-OWC6,Leoville Las Cases - St. Julien 2006 (owc6),6,BOTTLE,"$1,250 ",750ML,WA,96
579,RF1LEO0112007,Leoville Las Cases - St. Julien 2007,1,BOTTLE,"$1,150 ",750ML,WA,91+
580,RF1LEO0121924-CC,Leoville Las Cases - St. Julien 1924 (Cut Capsule),1,BOTTLE,"$19,800 ",1.5L,,
581,RF1LEO0121989,Leoville Las Cases - St. Julien 1989,2,BOTTLE,"$2,950 ",1.5L,WS,96
582,RF1LEO0121989-LD,Leoville Las Cases - St. Julien 1989 (Label Damage),1,BOTTLE,"$2,850 ",1.5L,WS,96
583,RF1LEO0132012,Leoville Las Cases - St. Julien 2012,24,BOTTLE,$560 ,375ML,,
584,RF1LEO0142012-OWC1,Leoville Las Cases - St. Julien 2012 (owc1),1,BOTTLE,"$4,500 ",3L,,
585,RF1LEO0162012-OWC1,Leoville Las Cases - St. Julien 2012 (owc1),1,BOTTLE,"$8,950 ",6L,,
586,RF1LEO0211863,Leoville Barton - St. Julien 1863,1,BOTTLE,"$19,800 ",750ML,,
587,RF1LEO0211899,Leoville Barton - St. Julien 1899,3,BOTTLE,"$13,900 ",750ML,,
