,Wine,Vintage,Format,Region,Cost,Qty,Negoce
111,CH. MISSION HAUT BRION ROUGE (LA),2010,75cl,Bordeaux,585.0,0,DIVA
112,CH. PAVIE,2010,75cl,Bordeaux,310.0,0,DIVA
113,CH. PICHON BARON,2010,75cl,Bordeaux,145.0,0,DIVA
114,CH. PICHON LALANDE,2010,75cl,Bordeaux,135.0,0,DIVA
115,CH. PONTET CANET,2010,75cl,Bordeaux,175.0,0,DIVA
116,CH. RIEUSSEC,2010,75cl,Bordeaux,42.0,0,DIVA
117,CLARENCE DE HAUT BRION (LE),2010,75cl,Bordeaux,103.0,0,DIVA
118,MAROJALLIA,2010,75cl,Bordeaux,52.0,0,DIVA
119,PAVILLON ROUGE DU CHATEAU MARGAUX,2010,75cl,Bordeaux,125.0,0,DIVA
120,RESERVE DE LA COMTESSE (LA),2010,75cl,Bordeaux,29.5,0,DIVA
121,CARMES DE RIEUSSEC,2011,75cl,Bordeaux,13.1,0,DIVA
122,CH. AUSONE,2011,75cl,Bordeaux,553.0,0,DIVA
123,CH. BERNADOTTE,2011,75cl,Bordeaux,10.0,0,DIVA
124,CH. BRANON,2011,75cl,Bordeaux,47.8,0,DIVA
125,CH. CANON LA GAFFELIERE,2011,75cl,Bordeaux,41.5,0,DIVA
126,CH. CANTEMERLE,2011,75cl,Bordeaux,19.5,0,DIVA
127,CH. CAPBERN GASQUETON,2011,75cl,Bordeaux,11.3,0,DIVA
128,CH. CLOS DE SARPE,2011,75cl,Bordeaux,49.0,0,DIVA
129,CH. CONSEILLANTE (LA),2011,75cl,Bordeaux,72.0,0,DIVA
130,CH. COS D'ESTOURNEL,2011,75cl,Bordeaux,102.0,0,DIVA
131,CH. COTE DE BALEAU,2011,75cl,Bordeaux,12.0,0,DIVA
132,CH. COUTET,2011,75cl,Bordeaux,37.0,0,DIVA
133,CH. DASSAULT,2011,75cl,Bordeaux,22.5,0,DIVA
134,CH. DOMINIQUE (LA),2011,75cl,Bordeaux,28.0,0,DIVA
135,CH. DUHART MILON ROTHSCHILD,2011,75cl,Bordeaux,57.0,0,DIVA
136,CH. EVANGILE (L'),2011,75cl,Bordeaux,98.0,0,DIVA
137,CH. FONBEL (DE),2011,75cl,Bordeaux,11.3,0,DIVA
138,CH. FOURCAS DUPRE,2011,75cl,Bordeaux,7.8,0,DIVA
139,CH. GAY (LE),2011,75cl,Bordeaux,69.0,0,DIVA
140,CH. GAZIN,2011,75cl,Bordeaux,44.0,0,DIVA
141,CH. GLORIA,2011,75cl,Bordeaux,22.0,0,DIVA
142,CH. GRESSIER GRAND POUJEAUX ,2011,75cl,Bordeaux,9.8,0,DIVA
143,CH. GRUAUD LAROSE,2011,75cl,Bordeaux,42.0,0,DIVA
144,CH. HAUT BATAILLEY,2011,75cl,Bordeaux,24.0,0,DIVA
145,CH. HAUT MARBUZET,2011,75cl,Bordeaux,21.0,0,DIVA
146,CH. LARCIS DUCASSE,2011,75cl,Bordeaux,34.2,0,DIVA
147,CH. LEOVILLE BARTON,2011,75cl,Bordeaux,48.0,0,DIVA
148,CH. LOUIS,2011,75cl,Bordeaux,26.1,0,DIVA
149,CH. MAGREZ FOMBRAUGE,2011,75cl,Bordeaux,13.7,0,DIVA
150,CH. MARGAUX,2011,75cl,Bordeaux,370.0,0,DIVA
151,CH. MAUVESIN BARTON,2011,75cl,Bordeaux,9.4,0,DIVA
152,CH. MEYNEY,2011,75cl,Bordeaux,18.6,0,DIVA
153,CH. MISSION HAUT BRION BLANC (LA),2011,75cl,Bordeaux,600.0,0,DIVA
154,CH. MONTROSE,2011,75cl,Bordeaux,69.0,0,DIVA
155,CH. MOULIN SAINT GEORGES,2011,75cl,Bordeaux,19.8,0,DIVA
156,CH. MOUTON ROTHSCHILD,2011,75cl,Bordeaux,360.0,0,DIVA
157,CH. OLIVIER ROUGE,2011,75cl,Bordeaux,17.5,0,DIVA
158,CH. ORMES DE PEZ (LES),2011,75cl,Bordeaux,18.0,0,DIVA
159,CH. PAVIE MACQUIN,2011,75cl,Bordeaux,42.0,0,DIVA
160,CH. PONTET CANET,2011,75cl,Bordeaux,69.0,0,DIVA
161,CH. POTENSAC,2011,75cl,Bordeaux,13.2,0,DIVA
162,CH. QUINAULT L'ENCLOS,2011,75cl,Bordeaux,19.2,0,DIVA
163,CH. QUINTUS,2011,75cl,Bordeaux,95.2,0,DIVA
164,CH. RETOUT (DU),2011,75cl,Bordeaux,5.8,0,DIVA
165,CH. REYNON,2011,75cl,Bordeaux,7.1,0,DIVA
166,CH. RIEUSSEC,2011,75cl,Bordeaux,43.0,0,DIVA
167,CH. SAINT PIERRE,2011,75cl,Bordeaux,32.7,0,DIVA
168,CH. SIRAN,2011,75cl,Bordeaux,16.3,0,DIVA
169,CH. SMITH HAUT LAFITTE BLANC,2011,75cl,Bordeaux,58.0,0,DIVA
170,CH. TEYSSIER,2011,75cl,Bordeaux,10.0,0,DIVA
171,CH. TRONQUOY LALANDE,2011,75cl,Bordeaux,19.0,0,DIVA
172,CH. TROPLONG MONDOT,2011,75cl,Bordeaux,55.0,0,DIVA
173,CHAPELLE DE LA MISSION HAUT BRION (LA),2011,75cl,Bordeaux,46.0,0,DIVA
174,CLARENCE DE HAUT BRION (LE),2011,75cl,Bordeaux,66.8,0,DIVA
175,CLOS DU MARQUIS,2011,75cl,Bordeaux,31.0,0,DIVA
176,CLOS FOURTET,2011,75cl,Bordeaux,55.0,0,DIVA
177,CLOS L'EGLISE,2011,75cl,Bordeaux,60.0,0,DIVA
178,CROIX DE BEAUCAILLOU (LA),2011,75cl,Bordeaux,24.0,0,DIVA
179,DAME DE MONTROSE (LA),2011,75cl,Bordeaux,22.2,0,DIVA
180,DOME (LE),2011,75cl,Bordeaux,69.0,0,DIVA
181,DULUC DE BRANAIRE,2011,75cl,Bordeaux,15.5,0,DIVA
182,FORTS DE LATOUR (LES),2011,75cl,Bordeaux,140.0,0,DIVA
183,FORTS DE LATOUR (LES),2011,75cl,Bordeaux,140.0,0,DIVA
184,MAROJALLIA,2011,75cl,Bordeaux,48.0,0,DIVA
185,MARQUIS DE CALON (LE),2011,75cl,Bordeaux,13.45,0,DIVA
186,PAGODES DE COS (LES),2011,75cl,Bordeaux,29.0,0,DIVA
187,PARDE DE HAUT BAILLY (LA),2011,75cl,Bordeaux,16.2,0,DIVA
188,VIEUX CHÂTEAU CERTAN,2011,75cl,Bordeaux,115.0,0,DIVA
189,VIEUX CHÂTEAU SAINT ANDRE,2011,75cl,Bordeaux,8.0,0,DIVA
190,BRIO DE CANTENAC BROWN,2012,75cl,Bordeaux,14.5,0,DIVA
191,CARMES DE RIEUSSEC,2012,75cl,Bordeaux,13.5,0,DIVA
192,CH. BERLIQUET,2012,75cl,Bordeaux,19.9,0,DIVA
193,CH. BOYD CANTENAC,2012,75cl,Bordeaux,32.2,0,DIVA
194,CH. BOYD CANTENAC,2012,75cl,Bordeaux,32.2,0,DIVA
195,CH. BRANON,2012,75cl,Bordeaux,39.9,0,DIVA
196,CH. CAMENSAC,2012,75cl,Bordeaux,16.5,0,DIVA
