,Unnamed: 0,item id,wine,wine chinese,growth,type english,type chinese,vendor english,vendor chinese,region english,region chinese,country english,country chinese,rating,year,format,price,qty,negoce
24,24,CFW01497-2008-00750,Ruinart Blanc De Blanc,,,Champagne,香槟,Ruinart,,Champagne,香槟,France,法國,,2008,750ml,443.0,5,Cuvees
25,25,CFW00128-2007-00750,Chateau Batailley,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Batailley,,"Pauillac, Bordeaux",波爾多,France,法國,,2007,750ml,330.0,5,Cuvees
26,26,CFW00014-1996-01500,Chateau Mouton Rothschild,武當正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Baron Philippe de Rothschild,武當酒莊 －罗斯柴尔德男爵集團,"Pauillac, Bordeaux",波爾多,France,法國,,1996,1500ml,8150.0,5,Cuvees
27,27,CFW00710-1999-00750,Ridge Monte Bello,山脊庄园丽山葡萄园干红,,Red,紅酒,Ridge,山脊庄园,Cupertino,庫比蒂諾,USA,美國,,1999,750ml,1165.0,6,Cuvees
28,28,CFW00710-2001-00750,Ridge Monte Bello,山脊庄园丽山葡萄园干红,,Red,紅酒,Ridge,山脊庄园,Cupertino,庫比蒂諾,USA,美國,,2001,750ml,1959.0,6,Cuvees
29,29,CFW01505-2004-00750,Veuve Clicquot Ponsardin La Grande Dame,,,Champagne,香槟,Veuve Clicquot Ponsardin,,Champagne,香槟,France,法國,,2004,750ml,790.0,6,Cuvees
30,30,CFW00070-2006-00750,Chateau Boyd Cantenac,,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Boyd Cantenac,,"Margaux, Bordeaux",波爾多,France,法國,,2006,750ml,252.3,6,Cuvees
31,31,CFW00098-2012-00750,Chateau Talbot,大宝正牌,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Talbot,大宝,"St. Julien, Bordeaux",波爾多,France,法國,,2012,750ml,314.5,7,Cuvees
32,32,CFW00128-2008-00750,Chateau Batailley,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Batailley,,"Pauillac, Bordeaux",波爾多,France,法國,,2008,750ml,320.0,8,Cuvees
33,33,CFW01485-2002-00750,Dom Perignon Silver,,,Champagne,香槟,Dom Perignon,,Champagne,香槟,France,法國,,2002,750ml,1295.0,8,Cuvees
