,Unnamed: 0,item id,wine,wine chinese,growth,type english,type chinese,vendor english,vendor chinese,region english,region chinese,country english,country chinese,rating,year,format,price,qty,negoce
794,794,CFW00299-2010-00750,Chateau Villemaurine,,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Villemaurine,,"St. Emilion, Bordeaux",波爾多,France,法國,,2010,750ml,27.5,72,BM
795,795,CFW00011-2009-00750,Le Clarence de Haut Brion,侯伯王副牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Haut Brion,侯伯王酒莊,"Graves, Bordeaux",波爾多,France,法國,,2009,750ml,100.0,72,BM
796,796,CFW00087-2012-01500,Chateau Calon Segur,,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Calon Segur, 卡龙世家,"St. Estephe, Bordeaux",波爾多,France,法國,,2012,1500ml,145.0,72,BM
797,797,CFW00162-2014-01500,Chateau Cantemerle,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Cantemerle,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2014,1500ml,36.0,72,BM
798,798,CFW00318-2004-01500,Chateau Le Gay,,,Red,紅酒,Chateau Le Gay,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,2004,1500ml,128.0,72,BM
799,799,CFW00098-1996-01500,Chateau Talbot,大宝正牌,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Chateau Talbot,大宝,"St. Julien, Bordeaux",波爾多,France,法國,,1996,1500ml,197.5,72,BM
800,800,CFW00269-2011-00750,Chateau Les Grandes Murailles,,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Les Grandes Murailles,,"St. Emilion, Bordeaux",波爾多,France,法國,,2011,750ml,29.0,75,BM
801,801,CFW00030-2008-00750,Chateau Gruaud Larose,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Gruaud Larose,金玫瑰城堡,"St. Julien, Bordeaux",波爾多,France,法國,,2008,750ml,64.0,78,BM
802,802,CFW00080-2011-00750,Chateau La Lagune,,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau La Lagune,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2011,750ml,36.0,78,BM
803,803,CFW00108-2010-00750,Chateau La Tour Carnet,,Bordeaux Grand Cru Classe 4th Growths,Red,紅酒,Bernard Magrez,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2010,750ml,30.6,78,BM
804,804,CFW00023-2010-00750,Chateau Leoville Poyferre,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Leoville Poyferre,乐芙,"St. Julien, Bordeaux",波爾多,France,法國,,2010,750ml,111.0,78,BM
805,805,CFW00078-2004-00750,Chateau Palmer,宝马正牌,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau Palmer,宝马,"Margaux, Bordeaux",波爾多,France,法國,,2004,750ml,180.0,78,BM
806,806,CFW00293-2011-00750,Clos St. Martin,,St. Emilion Grand Cru Classe,Red,紅酒,Clos St. Martin,,"St. Emilion, Bordeaux",波爾多,France,法國,,2011,750ml,33.5,78,BM
