,Wine,Vintage,Format,Cost,Qty,Negoce
160,ORMES DE PEZ,2009,750ml,29.5,6,Clarence Dillon
161,ORMES DE PEZ,2010,750ml,30.5,48,Clarence Dillon
162,PAGODES DE COS ,2011,750ml,30.0,72,Clarence Dillon
163,PAGODES DE COS ,2013,750ml,26.4,120,Clarence Dillon
164,PAGODES DE COS ,2014,750ml,26.4,240,Clarence Dillon
165,PAPE CLEMENT BLANC,2013,750ml,88.2,24,Clarence Dillon
166,PAPE CLEMENT BLANC,2014,750ml,88.2,42,Clarence Dillon
167,PICHON LONGUEVILLE BARON,2012,750ml,79.0,120,Clarence Dillon
168,PICHON LONGUEVILLE COMTESSE de LALANDE,2000,750ml,200.0,6,Clarence Dillon
169,PICHON LONGUEVILLE COMTESSE de LALANDE,2003,750ml,135.0,240,Clarence Dillon
170,PICHON LONGUEVILLE COMTESSE de LALANDE,2004,750ml,98.0,24,Clarence Dillon
171,PICHON LONGUEVILLE COMTESSE de LALANDE,2009,750ml,140.0,12,Clarence Dillon
172,PICHON LONGUEVILLE COMTESSE de LALANDE,2010,750ml,138.0,30,Clarence Dillon
173,PONTET-CANET,2000,750ml,111.0,33,Clarence Dillon
174,PONTET-CANET,2009,750ml,185.0,26,Clarence Dillon
175,PONTET-CANET ,2011,750ml,69.0,132,Clarence Dillon
176,PONTET-CANET ,2012,750ml,65.0,122,Clarence Dillon
177,PONTET-CANET ,2013,750ml,60.0,108,Clarence Dillon
178,POTENSAC,2002,750ml,15.0,43,Clarence Dillon
179,POTENSAC,2005,750ml,23.0,48,Clarence Dillon
180,POTENSAC,2006,750ml,19.9,192,Clarence Dillon
181,POTENSAC,2010,750ml,22.3,108,Clarence Dillon
182,POTENSAC,2014,750ml,14.8,360,Clarence Dillon
183,POUJEAUX ,2010,750ml,26.9,18,Clarence Dillon
184,PRIEURE (Le) ,2014,750ml,24.0,120,Clarence Dillon
185,RAUZAN-SEGLA ,1995,750ml,118.0,12,Clarence Dillon
186,RAUZAN-SEGLA ,2008,750ml,64.0,240,Clarence Dillon
187,RAUZAN-SEGLA ,2009,750ml,99.0,59,Clarence Dillon
188,RAUZAN-SEGLA ,2010,750ml,84.0,12,Clarence Dillon
189,RAUZAN-SEGLA ,2013,750ml,45.0,174,Clarence Dillon
190,RIEUSSEC,2001,750ml,139.0,2,Clarence Dillon
191,RIEUSSEC,2003,750ml,40.0,35,Clarence Dillon
192,SARGET DE GRUAUD LAROSE ,2014,750ml,19.4,360,Clarence Dillon
193,SMITH HAUT LAFITTE ROUGE ,2011,750ml,61.0,240,Clarence Dillon
