,Wine,Vintage,Format,Cost,Qty,Negoce
179,FONBEL (Ausone),2011,375ml,6.5,60,Twins
180,GISCOURS,2014,375ml,18.0,60,Twins
181,GRAND PUY LACOSTE,2011,375ml,19.85,60,Twins
182,GRAND PUY LACOSTE,2013,375ml,16.0,60,Twins
183,GRUAUD LAROSE,2014,375ml,22.0,60,Twins
184,GUIRAUD,2009,375ml,17.0,60,Twins
185,GUIRAUD,2010,375ml,17.5,60,Twins
186,GUIRAUD,2011,375ml,19.9,60,Twins
187,HAUT BAGES AVEROUS,2003,375ml,17.95,60,Twins
188,HAUT BAILLY,2014,375ml,34.0,60,Twins
189,ISSAN,2013,375ml,14.95,60,Twins
190,ISSAN,2014,375ml,18.0,60,Twins
191,KIRWAN,2014,375ml,12.5,60,Twins
192,LA CROIX DE GAY,2014,375ml,9.95,60,Twins
193,LA LAGUNE ,2014,375ml,16.0,60,Twins
194,LALANDE BORIE,2014,375ml,9.0,60,Twins
195,LE GAY,2009,375ml,63.0,60,Twins
196,MONBOUSQUET,2014,375ml,15.0,60,Twins
197,MOULIN D ISSAN,2012,375ml,3.75,60,Twins
198,MOULIN SAINT GEORGES,2005,375ml,23.5,60,Twins
199,NENIN,2009,375ml,24.95,60,Twins
200,PAPE CLEMENT ROUGE ,2014,375ml,31.0,60,Twins
201,PAVIE,2013,375ml,91.0,60,Twins
202,PEBY FAUGERES,2004,375ml,29.95,60,Twins
203,PEBY FAUGERES,2008,375ml,36.0,60,Twins
204,PEDESCLAUX,2005,375ml,17.0,60,Twins
205,PETIT VILLAGE,1998,375ml,26.0,60,Twins
206,POUJEAUX,2005,375ml,14.25,60,Twins
207,PRIEURE LICHINE,2009,375ml,21.5,60,Twins
208,PRIEURE LICHINE,2010,375ml,23.5,60,Twins
209,RAUZAN SEGLA,1998,375ml,31.5,60,Twins
210,RAUZAN SEGLA,2013,375ml,18.5,60,Twins
211,RAYNE VIGNEAU,2010,375ml,12.5,60,Twins
212,RIEUSSEC,2014,375ml,19.5,60,Twins
213,SIRENE DE GISCOURS,2010,375ml,12.95,60,Twins
214,SUDUIRAUT  ,1989,375ml,22.5,60,Twins
215,TOUR FIGEAC,1990,375ml,20.0,60,Twins
216,TOUR FIGEAC,2002,375ml,8.5,60,Twins
217,TOUR FIGEAC,2006,375ml,16.0,60,Twins
218,YQUEM  ,2000,375ml,145.0,60,Twins
219,YQUEM  ,2013,375ml,125.0,60,Twins
220,BEYCHEVELLE  ,1993,5000ml,455.0,6,Twins
221,BEYCHEVELLE  ,1994,5000ml,495.0,6,Twins
222,CANON LA GAFFELIERE,1999,5000ml,450.0,6,Twins
223,CHEVAL BLANC,1993,5000ml,1975.0,6,Twins
224,DURFORT VIVENS,1961,5000ml,2400.0,6,Twins
225,DURFORT VIVENS,1990,5000ml,625.0,6,Twins
226,FIEFS DE LAGRANGE,1986,5000ml,260.0,6,Twins
227,GRUAUD LAROSE,1994,5000ml,260.0,6,Twins
228,LA CONSEILLANTE,1993,5000ml,460.0,6,Twins
229,LA CONSEILLANTE,1994,5000ml,505.0,6,Twins
230,MARGAUX,1993,5000ml,2270.0,6,Twins
