,Wine,Vintage,Format,Cost,Qty,Negoce
177,Yquem,2001,750ml,480.0,12,CVBG
178,Solaia,2012,750ml,135.0,12,CVBG
179,Solaia,2009,750ml,140.0,12,CVBG
180,Solaia,1999,750ml,205.0,12,CVBG
181,La Mouline - Guigal,2013,750ml,210.0,12,CVBG
182,La Turque - Guigal,2013,750ml,210.0,12,CVBG
183,La Turque - Guigal,2012,750ml,225.0,12,CVBG
184,La Turque - Guigal,2011,750ml,225.0,12,CVBG
185,Fourcas Dupré,2011,1500ml,16.5,12,CVBG
186,Latour Martillac blanc,2008,1500ml,40.0,12,CVBG
187,Pape Clément rouge,2014,1500ml,120.0,12,CVBG
188,Smith Haut Lafitte Rouge,2014,1500ml,120.0,12,CVBG
189,Canon la Gaffelière,2012,1500ml,90.0,12,CVBG
190,Ornellaia,2013,1500ml,207.0,12,CVBG
191,Ornellaia,2012,1500ml,210.0,12,CVBG
192,Beychevelle,2014,3000ml,280.0,12,CVBG
193,Climens,2005,375ml,37.5,120,CVBG
194,Larrivaux,2014,750ml,7.2,120,CVBG
195,Chasse Spleen,2014,750ml,20.0,120,CVBG
196,N°2 de Maucaillou,2012,750ml,9.5,120,CVBG
197,Grand Puy Lacoste,2011,750ml,38.5,120,CVBG
198,Mouton Rothschild,2012,750ml,355.0,120,CVBG
199,Malartic Lagravière blanc,2009,750ml,46.0,120,CVBG
200,Canon la Gaffelière,2013,750ml,39.0,120,CVBG
201,Beychevelle,2014,750ml,74.0,120,CVBG
202,Ducru Beaucaillou,2012,750ml,102.0,120,CVBG
203,Léoville Barton,2009,750ml,88.0,120,CVBG
204,Léoville Las Cases,2012,750ml,118.0,120,CVBG
205,Rieussec,2013,750ml,48.0,120,CVBG
206,Yquem,2006,750ml,240.0,120,CVBG
207,Yquem,2000,750ml,258.0,120,CVBG
208,Ornellaia,2011,750ml,110.0,120,CVBG
209,Belgrave,2012,1500ml,34.3,120,CVBG
210,La Garde Blanc,2015,750ml,15.0,1200,CVBG
211,Rahoul,2012,375ml,4.3,1200,CVBG
212,Belgrave,2012,375ml,8.8,1200,CVBG
213,Belgrave,2011,375ml,9.8,1200,CVBG
214,La Garde Rouge,2012,375ml,6.8,1200,CVBG
215,Grand Barrail Lamarzelle Figeac,2014,375ml,6.6,1200,CVBG
216,Guiraud,2011,375ml,21.0,1200,CVBG
217,Guiraud,2005,375ml,15.9,1200,CVBG
218,Yquem,2013,375ml,125.0,1200,CVBG
219,Mont-Pérat Blanc,2015,750ml,6.9,1200,CVBG
220,Croix Mouton,2015,750ml,6.85,1200,CVBG
221,Aiguilhe,2013,750ml,11.8,1200,CVBG
222,Rahoul,2012,750ml,8.0,1200,CVBG
223,Beaumont,2015,750ml,8.7,1200,CVBG
224,Beaumont,2013,750ml,7.8,1200,CVBG
225,Belgrave,2014,750ml,19.0,1200,CVBG
226,Belgrave,2012,750ml,17.0,1200,CVBG
227,Belgrave,2009,750ml,29.0,1200,CVBG
228,Clément Pichon,2013,750ml,9.7,1200,CVBG
229,Lanessan,2011,750ml,9.3,1200,CVBG
230,Peyrabon,2014,750ml,6.8,1200,CVBG
231,Chambrun,2011,750ml,12.9,1200,CVBG
232,Arsac,2015,750ml,13.0,1200,CVBG
233,Baron de Brane,2014,750ml,15.3,1200,CVBG
234,Baron de Brane,2013,750ml,13.8,1200,CVBG
235,Confidences de Prieuré-Lichine,2014,750ml,12.5,1200,CVBG
236,Giscours,2012,750ml,36.0,1200,CVBG
237,Rauzan Ségla,2008,750ml,55.0,1200,CVBG
238,Gressier Grand Poujeaux,2014,750ml,9.9,1200,CVBG
239,Maucaillou,2013,750ml,12.0,1200,CVBG
240,Mauvesin Barton,2015,750ml,10.0,1200,CVBG
241,Echo de Lynch Bages,2014,750ml,25.0,1200,CVBG
242,Grand Puy Lacoste,2013,750ml,31.2,1200,CVBG
243,Réserve de la Comtesse,2015,750ml,26.9,1200,CVBG
244,La Garde Rouge,2014,750ml,14.0,1200,CVBG
245,La Garde Rouge,2011,750ml,13.0,1200,CVBG
246,II de Saint-Pierre,2014,750ml,12.0,1200,CVBG
247,Rouget,2013,750ml,22.5,1200,CVBG
248,Clos des Jacobins,2014,750ml,17.0,1200,CVBG
249,Clos des Jacobins,2013,750ml,15.0,1200,CVBG
250,Dôme,2012,750ml,70.0,1200,CVBG
251,Grand Barrail Lamarzelle Figeac,2012,750ml,12.0,1200,CVBG
252,Grand Barrail Lamarzelle Figeac,2011,750ml,12.5,1200,CVBG
253,Grand Mayne,2014,750ml,22.0,1200,CVBG
254,Grand Pontet,2011,750ml,18.9,1200,CVBG
255,Monbousquet,2014,750ml,28.0,1200,CVBG
256,Monbousquet,2013,750ml,26.0,1200,CVBG
257,Teyssier,2014,750ml,10.5,1200,CVBG
258,Teyssier,2013,750ml,9.85,1200,CVBG
259,Teyssier,2012,750ml,10.5,1200,CVBG
260,Teyssier,2011,750ml,10.75,1200,CVBG
261,Lafon Rochet,2014,750ml,26.0,1200,CVBG
262,Le Boscq ,2013,750ml,12.5,1200,CVBG
263,Le Boscq ,2012,750ml,14.5,1200,CVBG
264,Le Boscq ,2011,750ml,15.0,1200,CVBG
265,Duluc,2012,750ml,15.75,1200,CVBG
266,Léoville Barton,2013,750ml,45.0,1200,CVBG
267,Sigalas Rabaud,2010,750ml,30.0,1200,CVBG
268,Y d'Yquem,2014,750ml,92.0,126,CVBG
269,Cheval Blanc,2014,750ml,370.0,126,CVBG
270,Solaia,1998,750ml,205.0,126,CVBG
271,Rahoul,2010,375ml,5.5,132,CVBG
272,Brumes de La Tour Blanche,2015,375ml,4.75,132,CVBG
273,Mauvesin Barton,2013,750ml,9.9,132,CVBG
274,Latour Martillac blanc,2012,750ml,18.9,132,CVBG
275,Mission Haut Brion ,2014,750ml,170.0,132,CVBG
276,Fombrauge,2011,750ml,19.5,132,CVBG
277,La Fleur,2014,750ml,17.5,132,CVBG
278,Moulin Saint-Georges,2009,750ml,35.0,132,CVBG
279,Lalande Borie,2014,750ml,15.0,132,CVBG
280,Léoville Barton,2014,750ml,55.0,132,CVBG
281,Léoville Barton,1998,750ml,82.0,132,CVBG
282,Léoville Poyferré,2012,750ml,52.0,132,CVBG
283,L'Aventure - Optimus,2013,750ml,35.0,132,CVBG
284,Grand Barrail Lamarzelle Figeac,2014,1500ml,25.3,132,CVBG
285,Girolate blanc,2014,750ml,25.0,138,CVBG
286,Grand Barrail Lamarzelle Figeac,2012,1500ml,24.3,138,CVBG
287,Pedesclaux,2005,750ml,36.0,144,CVBG
288,Smith Haut Lafitte Rouge,2006,750ml,75.0,144,CVBG
289,Cos d'Estournel,2014,750ml,95.0,144,CVBG
290,Petit Bocq,2014,750ml,12.0,144,CVBG
291,Léoville Barton,2005,750ml,98.0,144,CVBG
292,Malescot Saint Exupery,2013,1500ml,57.0,144,CVBG
293,Pavie,2014,1500ml,395.0,144,CVBG
294,Pavillon blanc,2015,750ml,189.0,15,CVBG
295,Mission Haut Brion Blanc,2014,750ml,480.0,15,CVBG
296,Hommage à Jacques Perrin,2014,750ml,230.0,15,CVBG
297,Hommage à Jacques Perrin,2012,750ml,310.0,15,CVBG
298,Hommage à Jacques Perrin,2011,750ml,290.0,15,CVBG
299,Hommage à Jacques Perrin,2009,750ml,275.0,15,CVBG
300,Forts de Latour ,2011,1500ml,310.0,15,CVBG
301,Pape Clément rouge,2012,1500ml,140.0,15,CVBG
302,Troplong Mondot,2014,1500ml,120.0,15,CVBG
303,Lagrange,2014,3000ml,125.0,15,CVBG
304,Climens,2011,750ml,70.0,150,CVBG
305,Hauts du Tertre,2014,750ml,14.0,150,CVBG
306,L'Aventure - Cuvée Estate,2013,750ml,65.0,150,CVBG
307,Aiguilhe,2014,750ml,12.9,156,CVBG
308,Potensac,2013,750ml,12.5,156,CVBG
309,Grand Puy Lacoste,2005,750ml,95.0,156,CVBG
310,Canon,2012,750ml,62.0,156,CVBG
311,Pavie,2014,750ml,200.0,156,CVBG
312,Léoville Las Cases,2003,750ml,180.0,156,CVBG
313,Petit Village,2012,3000ml,200.0,16,CVBG
314,Poujeaux,2012,750ml,18.5,162,CVBG
