,ID,Wine,Year,Region English,Region Chinese,Formats,Negoces,Price,Markup Percentile,Markup Price,WS Merchants,WS Prices,Recommended Prices,Margin,Sell,Date,Qty,English Type,Chinese Type,English Vendor,Chinese Vendor,Rating
538,CFW00173-2016-00750,Chateau Carbonnieux Rouge,2016,"Pessac Leognan, Bordeaux",波爾多,750ml,RCA,230.89,5%,338.18,N/A,N/A,338,107,N/A,2017-08-01 08:05,144,Red,紅酒,Chateau Carbonnieux,N/A,N/A
539,CFW00043-2014-00750,Chateau Ducru Beaucaillou,2014,"St. Julien, Bordeaux",波爾多,750ml,RCA,1191.12,5%,1426.99,N/A,N/A,1425,236,N/A,2017-08-01 08:05,42,Red,紅酒,Chateau Ducru Beaucaillou,宝嘉龙酒庄,N/A
540,CFW00014-2002-00750,Chateau Mouton Rothschild,2002,"Pauillac, Bordeaux",波爾多,750ml,RCA,3985.69,5%,4595.78,N/A,N/A,4595,610,N/A,2017-08-01 08:05,24,Red,紅酒,Baron Philippe de Rothschild,武當酒莊 －罗斯柴尔德男爵集團,N/A
541,CFW00104-1999-03000,Chateau Branaire Ducru,1999,"St. Julien, Bordeaux",波爾多,3000ml,BM,2281.46,5%,2663.34,N/A,N/A,2660,382,N/A,2017-08-01 08:05,25,Red,紅酒,Chateau Branaire Ducru,N/A,N/A
542,CFW00056-2014-00750,Blason d'Issan,2014,"Margaux, Bordeaux",波爾多,750ml,Clarence Dillon,137.44,5%,232.21,N/A,N/A,230,95,N/A,2017-08-01 08:05,168,Red,紅酒,Chateau d’Issan,N/A,N/A
543,CFW00218-2014-00750,Chateau Ausone,2014,"St. Emilion, Bordeaux",波爾多,750ml,RCA,5176.81,5%,5946.40,N/A,N/A,5945,770,N/A,2017-08-01 08:05,15,Red,紅酒,Chateau Ausone,欧颂,N/A
544,CFW02143-2011-00750,Chateau Sociando Mallet,2011,Bordeaux,波爾多,750ml,Twins,180.50,5%,281.04,N/A,N/A,280,101,N/A,2017-08-01 08:05,60,Red,紅酒,Chateau Sociando Mallet,N/A,N/A
545,CFW00238-2014-00750,Chateau Bellefont Belcier,2014,"St. Emilion, Bordeaux",波爾多,750ml,Twins,208.91,5%,313.25,N/A,N/A,310,104,N/A,2017-08-01 08:05,60,Red,紅酒,Chateau Bellefont Belcier,N/A,N/A
546,CFW00108-2010-00750,Chateau La Tour Carnet,2010,"Haut Medoc, Bordeaux",波爾多,750ml,BM,280.37,5%,394.28,N/A,N/A,390,114,N/A,2017-08-01 08:05,78,Red,紅酒,Bernard Magrez,N/A,N/A
547,CFW00240-2011-00750,Chateau Berliquet,2011,"St. Emilion, Bordeaux",波爾多,750ml,RCA,203.41,5%,307.02,N/A,N/A,305,104,N/A,2017-08-01 08:05,120,Red,紅酒,Chateau Berliquet,N/A,N/A
548,CFW00026-2005-00750,Chateau Leoville Barton,2005,"St. Julien, Bordeaux",波爾多,750ml,BM,971.22,5%,1177.64,N/A,N/A,1175,206,N/A,2017-08-01 08:05,102,Red,紅酒,Chateau Leoville Barton,巴頓,N/A
549,CFW00060-2013-01500,Les Fiefs de Lagrange,2013,"St. Julien, Bordeaux",波爾多,1500ml,Twins,256.55,5%,367.27,N/A,N/A,365,111,N/A,2017-08-01 08:05,12,Red,紅酒,Chateau Lagrange,N/A,N/A
550,CFW00020-2008-00750,Chateau Leoville Las Cases,2008,"St. Julien, Bordeaux",波爾多,750ml,RCA,1264.42,5%,1510.11,N/A,N/A,1510,246,N/A,2017-08-01 08:05,66,Red,紅酒,Chateau Leoville Las Cases,雄狮酒莊,N/A
551,CFW00087-2015-00750,Chateau Calon Segur,2015,"St. Estephe, Bordeaux",波爾多,750ml,RCA,687.19,5%,855.58,N/A,N/A,855,168,N/A,2017-08-01 08:05,60,Red,紅酒,Chateau Calon Segur, 卡龙世家,N/A
552,CFW00308-1995-00750,Chateau L'Evangile,1995,"Pomerol, Bordeaux","波默罗, 波爾多",750ml,Twins,1401.86,5%,1665.95,N/A,N/A,1665,264,N/A,2017-08-01 08:05,60,Red,紅酒,Domaines Barons de Rothschild,N/A,N/A
553,CFW00014-2001-05000,Chateau Mouton Rothschild,2001,"Pauillac, Bordeaux",波爾多,5000ml,BM,30868.46,5%,35078.40,N/A,N/A,35078,4210,N/A,2017-08-01 08:05,3,Red,紅酒,Baron Philippe de Rothschild,武當酒莊 －罗斯柴尔德男爵集團,N/A
554,CFW01949-2013-00750,Verite Le Desir,2013,"Sonoma, California",索諾瑪，加州,750ml,BM,2061.56,5%,2413.99,N/A,N/A,2410,352,N/A,2017-08-01 08:05,234,Red,紅酒,Verite,N/A,N/A
555,CFW00050-1986-00750,Chateau Montrose,1986,"St. Estephe, Bordeaux",波爾多,750ml,BM,1566.79,5%,1852.97,N/A,N/A,1850,286,N/A,2017-08-01 08:05,12,Red,紅酒,Chateau Montrose,梦玫瑰,N/A
556,CFW00477-2015-00750,Chateau Bridane,2015,"St. Julien, Bordeaux",波爾多,750ml,CVBG,119.11,5%,211.43,N/A,N/A,210,92,N/A,2017-08-01 08:05,516,Red,紅酒,Chateau Bridane,N/A,N/A
557,CFW00226-2011-00750,Chateau Figeac,2011,"St. Emilion, Bordeaux",波爾多,750ml,Twins,732.54,5%,907.00,N/A,N/A,905,174,N/A,2017-08-01 08:05,60,Red,紅酒,Chateau Figeac, 飞卓,N/A
558,CFW00006-1998-00750,Chateau Margaux,1998,"Margaux, Bordeaux","瑪歌, 波爾多",750ml,CVBG,3619.19,5%,4180.20,N/A,N/A,4180,561,N/A,2017-08-01 08:05,12,Red,紅酒,Chateau Margaux,瑪歌酒莊,N/A
559,CFW00128-2013-00750,Chateau Batailley,2013,"Pauillac, Bordeaux",波爾多,750ml,Twins,206.16,5%,310.14,N/A,N/A,310,104,N/A,2017-08-01 08:05,60,Red,紅酒,Chateau Batailley,N/A,N/A
560,CFW01804-2005-06000,Chateau Laville Haut Brion,2005,"Pessac Leognan, Bordeaux",波爾多,6000ml,Clarence Dillon,172401.60,5%,195564.14,N/A,N/A,195560,23163,N/A,2017-08-01 08:05,6,White,白酒,Chateau La Mission Haut Brion,N/A,N/A
561,CFW01740-2011-00750,Chateau Les Garregades,2011,"Medoc, Bordeaux",波爾多,750ml,RCA,42.61,5%,124.68,N/A,N/A,124.68,82,N/A,2017-08-01 08:05,12000,Red,紅酒,Chateau Les Garregades,N/A,N/A
562,CFW00219-1995-00750,Chateau Cheval Blanc,1995,"St. Emilion, Bordeaux",波爾多,750ml,CVBG,4306.38,5%,4959.41,N/A,N/A,4958,653,N/A,2017-08-01 08:05,24,Red,紅酒,Chateau Cheval Blanc,白马,N/A
563,CFW00390-2014-00750,Chateau Clement Pichon,2014,"Haut Medoc, Bordeaux",波爾多,750ml,CVBG,94.37,5%,183.38,N/A,N/A,183.38,89,N/A,2017-08-01 08:05,312,Red,紅酒,Chateau Clement Pichon,N/A,N/A
564,CFW00715-2013-00750,L'Aventure Cote a Cote,2013,Paso Robles,帕索羅布,750ml,CVBG,549.75,5%,699.74,N/A,N/A,698,150,N/A,2017-08-01 08:05,90,Red,紅酒,L'Aventure Winery,冒险酒庄,N/A
