,wine,dictionary wine
1601,Giscours,Chateau Giscours
1602,Mission Haut Brion Blanc,Chateau La Mission Haut Brion Blanc
1603,Klein Constantia - Vin de Constance,Klein Constantia Vin de Constance
1604,Maucaillou,Chateau Maucaillou
1605,Pavie Decesse,Chateau Pavie Decesse
1606,GUIGAL LA LANDONNE,E. Guigal La Landonne
1607,POL ROGER WINSTON CHURCHILL,Pol Roger Winston Churchill
1608,CHATEAU TRIANS ROSE,Chateau Trians Rose
1609,CHATEAU TRIANS BLANC,Chateau Trians Blanc
1610,GUIGAL LA TURQUE,E. Guigal La Turque
1611,GUIGAL LA MOULINE,E. Guigal La Mouline
1612,LE RETOUT BLANC,Chateau du Retout Blanc
1613,CHATEAU DE LIGNANE CUVEE JEAN,Chateau de Lignane Cuvee Jean
