,VINTAGE,ESTATE,APPELLATION,COLOR,CLASSIFICATION,QUANTITY,VOLUME,PACKING,PRICE,WA
201,2012,CH. BOYD CANTENAC,MARGAUX,RED,3CC,12,BT,OWC6,32.2,-
202,2012,CH. BRANON,PESSAC LEOGNAN,RED,,30,BT,OWC6,39.9,94
203,2012,CH. CAMENSAC,HAUT MEDOC,RED,5CC,204,BT,OWC12,16.5,86
204,2012,CH. CANTEMERLE,HAUT MEDOC,RED,5CC,120,BT,OWC6,18.0,88
205,2012,CH. CAP DE MOURLIN,SAINT EMILION GRAND CRU,RED,CC,6,BT,OWC6,15.0,90-92
206,2012,CH. CARONNE SAINTE GEMME,HAUT MEDOC,RED,,48,BT,CB6,8.0,-
207,2012,CH. CHEVAL BLANC,SAINT EMILION GRAND CRU,RED,CC1A,300,BT,OWC6,345.0,94
208,2012,CH. CLOS DE SARPE,SAINT EMILION GRAND CRU,RED,CC,108,BT,OWC12,48.0,95+
209,2012,CH. COS D'ESTOURNEL,SAINT ESTEPHE,RED,2CC,486,BT,OWC6,89.0,93+
210,2012,CH. COUTET,BARSAC,SWEET,1CC,420,BT,OWC6,31.2,90-92
211,2012,CH. CROIZET BAGES,PAUILLAC,RED,5CC,48,BT,OWC12,20.4,88
212,2012,CH. DUCRU BEAUCAILLOU,SAINT JULIEN,RED,2CC,444,BT,OWC6,80.0,90-92
213,2012,CH. DUHART MILON ROTHSCHILD,PAUILLAC,RED,4CC,600,BT,OWC6,53.0,89
214,2012,CH. FLEUR DE BOUARD (LA),LALANDE DE POMEROL,RED,,240,BT,OWC12,21.6,91
215,2012,CH. FLEUR DE GAY (LA),POMEROL,RED,,36,BT,OWC12,55.0,92
216,2012,CH. FLEUR MORANGE (LA),SAINT EMILION GRAND CRU,RED,CC,48,BT,OWC6,45.0,88
217,2012,CH. FOMBRAUGE,SAINT EMILION GRAND CRU,RED,CC,312,BT,OWC12,14.3,88
218,2012,CH. FOMBRAUGE,SAINT EMILION GRAND CRU,RED,CC,516,BT,OWC6,14.3,88
219,2012,CH. FOMBRAUGE,SAINT EMILION GRAND CRU,RED,CC,600,BT,,14.3,88
220,2012,CH. FONBEL (DE),SAINT EMILION GRAND CRU,RED,,336,BT,CB12,9.8,87-89
221,2012,CH. FONROQUE,SAINT EMILION GRAND CRU,RED,CC,228,BT,OWC12,15.0,90
222,2012,CH. GAY (LE),POMEROL,RED,,12,BT,OWC6,65.0,94+
223,2012,CH. GRACIA,SAINT EMILION GRAND CRU,RED,,84,BT,OWC6,72.0,95+
224,2012,CH. GRAND PUY DUCASSE,PAUILLAC,RED,5CC,336,BT,OWC12,26.0,90
225,2012,CH. GRAND PUY LACOSTE,PAUILLAC,RED,5CC,216,BT,OWC12,33.0,91
226,2012,CH. GRANDES MURAILLES (LES),SAINT EMILION GRAND CRU,RED,CC,60,BT,OWC6,28.0,90
227,2012,CH. GUIRAUD,SAUTERNES,SWEET,1CC,132,BT,OWC6,30.0,90-92
228,2012,CH. HAUT BAILLY,PESSAC LEOGNAN,RED,CC,84,BT,OWC6,62.0,96
229,2012,CH. HAUT BATAILLEY,PAUILLAC,RED,5CC,12,BT,OWC12,25.0,92
230,2012,CH. HAUT BRION BLANC,PESSAC LEOGNAN,WHITE,,42,BT,OWC6,600.0,98
231,2012,CH. HAUT BRION ROUGE,PESSAC LEOGNAN,RED,1CC,180,BT,-,330.0,98
232,2012,CH. HAUT MARBUZET,SAINT ESTEPHE,RED,,6,BT,OWC6,22.0,87
233,2012,CH. LAGRANGE,SAINT JULIEN,RED,3CC,420,BT,OWC6,24.0,86
234,2012,CH. LALANDE BORIE,SAINT JULIEN,RED,,216,BT,OWC12,15.0,86-88
235,2012,CH. LANESSAN,HAUT MEDOC,RED,,594,BT,OWC6,9.0,86
236,2012,CH. LANGOA BARTON,SAINT JULIEN,RED,3CC,6,BT,OWC12,30.5,90
237,2012,CH. LANGOA BARTON,SAINT JULIEN,RED,3CC,600,BT,OWC6,30.5,90
238,2012,CH. MALARTIC LAGRAVIERE BLANC,PESSAC LEOGNAN,WHITE,CC,24,BT,OWC12,35.5,93
239,2012,CH. MALESCOT SAINT EXUPERY,MARGAUX,RED,3CC,90,BT,OWC6,33.0,
240,2012,CH. MISSION HAUT BRION BLANC (LA),PESSAC LEOGNAN,WHITE,CC,42,BT,OWC6,485.0,96-98+
241,2012,CH. MISSION HAUT BRION ROUGE (LA),PESSAC LEOGNAN,RED,CC,222,BT,OWC6,160.0,97
242,2012,CH. MONTROSE,SAINT ESTEPHE,RED,2CC,600,BT,OWC6,58.0,92+
243,2012,CH. NENIN,POMEROL,RED,,12,BT,OWC6,31.0,91-93
244,2012,CH. PALMER,MARGAUX,RED,3CC,300,BT,OWC6,179.0,96
245,2012,CH. PAPE CLEMENT ROUGE,PESSAC LEOGNAN  ,RED,CC,6,BT,OWC6,65.0,97
246,2012,CH. PONTET CANET,PAUILLAC,RED,5CC,12,BT,OWC12,66.0,93
247,2012,CH. POTENSAC,MEDOC,RED,,420,BT,OWC6,12.6,87-89
248,2012,CH. QUINAULT L'ENCLOS,SAINT EMILION GRAND CRU,RED,CC,144,BT,OWC6,19.2,88
249,2012,CH. QUINTUS,SAINT EMILION GRAND CRU,RED,,120,BT,OWC6,71.5,89
250,2012,CH. SENEJAC,HAUT MEDOC,RED,,600,BT,CB6,7.8,87-88
251,2012,CH. SIAURAC,LALANDE DE POMEROL,RED,,24,BT,OWC12,9.0,85-87
252,2012,CH. TEYSSIER,SAINT EMILION GRAND CRU,RED,,600,BT,OWC6,10.0,87
253,2012,CH. TRONQUOY LALANDE,SAINT ESTEPHE,RED,,588,BT,OWC6,18.0,89+
254,2012,CH. TROPLONG MONDOT,SAINT EMILION GRAND CRU,RED,CC1B,264,BT,OWC12,59.0,96
255,2012,CH. VAL DE ROC,BORDEAUX SUPERIEUR,RED,,600,BT,OWC12,5.35,-
256,2012,CHAPELLE D'AUSONE,SAINT EMILION GRAND CRU,RED,2nd,66,BT,OWC6,125.0,93
257,2012,CHAPELLE DE LA MISSION HAUT BRION (LA),PESSAC LEOGNAN,RED,2nd,564,BT,OWC6,36.0,90
258,2012,CLOS FLORIDENE ROUGE,GRAVES,RED,,168,BT,OWC12,10.2,88
259,2012,CLOS L'EGLISE,POMEROL,RED,,84,BT,OWC6,44.0,90
