,                          THE CLASSICS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
128,Vint.,Chateau,Format,Comment,Appellation,Qty/cs,,,€/Btl.,Parker,Decanter,W.S,J.S
129,,,,,,,,,,,,,
130,1996,CH. D'ARMAILHAC,Mag.,5TH GCC,Pauillac,3,cs,,108,87,,88,90
131,1999,CH. D'ARMAILHAC,Mag.,5TH GCC,Pauillac,5,cs,,98,89,,90,
132,2000,CH. D'ARMAILHAC,Mag.,5TH GCC,Pauillac,8,cs,,145,89,,90,
133,2004,CH. D'ARMAILHAC,,5TH GCC,Pauillac,35,cs,,45,89,**** 16.5,90,
134,2004,CH. D'ARMAILHAC,Mag.,5TH GCC,Pauillac,4,cs,,90,89,**** 16.5,90,
135,2008,CH. D'ARMAILHAC,,5TH GCC,Pauillac,2,cs,,40,89,**** 17,89,90
136,2009,CH. D'ARMAILHAC,,5TH GCC,Pauillac,35,cs,,48,92,**** 17.5,91-94,
137,2011,CH. D'ARMAILHAC,,5TH GCC,Pauillac,125,cs,,35,87,**** 17,90,90
138,,,,,,,,,,,,,
139,2000,CH. CLERC MILON,Mag.,5TH GCC,Pauillac,9,cs,,160,92,,91,92
140,2002,CH. CLERC MILON,Mag.,5TH GCC,Pauillac,12,cs,,120,90,,,
141,2002,CH. CLERC MILON,Jero.,5TH GCC,Pauillac,2,cs,/1,450,90,,,
142,2003,CH. CLERC MILON,Mag.,5TH GCC,Pauillac,15,cs,,130,91+,,,
143,2004,CH. CLERC MILON,Mag.,5TH GCC,Pauillac,10,cs,,115,90,,90,92
144,2006,CH. CLERC MILON,Mag.,5TH GCC,Pauillac,7,cs,,135,91 +,****,91,90
145,2008,CH. CLERC MILON,Mag.,5TH GCC,Pauillac,8,cs,,120,90,**** 17,88-91,91
146,2010,CH. CLERC MILON,,5TH GCC,Pauillac,4,cs,,75,94,****17.75,93-96,95-96
147,2010,CH. CLERC MILON,Mag.,5TH GCC,Pauillac,1,cs,,130,94,****17.75,93-96,95-96
148,2011,CH. CLERC MILON,,5TH GCC,Pauillac,4,cs,,57,88,**** 17,90-93,93
149,2013,CH. CLERC MILON,,5TH GCC,Pauillac,2,cs,,48,87-89,17,89-92,89-90
150,,,,,,,,,,,,,
151,2004,CH. CROIZET BAGES,,5TH HCC,Pauillac,95,cs,,27.5,86,,,
152,2011,CH. CROIZET BAGES,,5TH GCC,Pauillac,19,cs,,23,87,*** 16,89-92,91
153,2012,CH. CROIZET BAGES,,5TH GCC,Pauillac,20,cs,,21.8,88,16.50,,
154,2012,CH. CROIZET BAGES,Half,5TH GCC,Pauillac,20,cs,,11.5,88,16.50,,
155,2012,CH. CROIZET BAGES,Mag.,5TH GCC,Pauillac,2,cs,,43.5,88,16.50,,
156,2013,CH. CROIZET BAGES,,5TH GCC,Pauillac,150,cs,,20.8,84-86,15.75,86-89,
157,,,,,,,,,,,,,
158,1993,CH. DUHART MILON ROTHSCHILD,DMag.,4TH GCC,Pauillac,8,cs,/3,225,85,,80,
159,1997,CH. DUHART MILON ROTHSCHILD,DMag.,4TH GCC,Pauillac,3,cs,/3,235,87,,85,
